"Textfield """"","Product sales"


"Textfield """"","Mab´s
Nº  de contribuinte: 34143941000104"


"Textfield """"","Av. Prado Junior, 16 Loja A
22011040  - Rio de Janeiro"


"Textfield """"","[ 2018-09-01 <-> 2018-09-30 ]"


"Table ""openCashBox""","","","Vendas por Artigo","","","","","","",""
"","","","","","","","","",""
"","","Descrição","Quantidade","Desconto s/IVA","Desconto c/IVA","Total","Total c/IVA","Gross Total",""
"","","Bebidas Frias","3724.00","R$ 2,455.18","R$ 2,266.50","R$ 26,268.45","R$ 27,357.50","R$ 29,624.00",""
"","","Cafezinho","1.00","R$ 0.00","R$ 0.00","R$ 4.30","R$ 5.00","R$ 5.00",""
"","","Coca Cola Zero","1.00","R$ 0.00","R$ 0.00","R$ 7.00","R$ 7.00","R$ 7.00",""
"","","Cafe C/Leite","1.00","R$ 0.00","R$ 0.00","R$ 6.88","R$ 8.00","R$ 8.00",""
"","","Sucos Variados","1.00","R$ 0.00","R$ 0.00","R$ 6.88","R$ 8.00","R$ 8.00",""
"","","Agua","1.00","R$ 0.00","R$ 0.00","R$ 4.00","R$ 4.00","R$ 4.00",""
"","","Coca Cola","1.00","R$ 0.00","R$ 0.00","R$ 7.00","R$ 7.00","R$ 7.00",""
"","","Coca Cola","1.00","R$ 0.00","R$ 0.00","R$ 7.00","R$ 7.00","R$ 7.00",""
"","","Sucos Variados","1.00","R$ 0.00","R$ 0.00","R$ 6.88","R$ 8.00","R$ 8.00",""
"","","Ice Tea","1.00","R$ 0.00","R$ 0.00","R$ 6.00","R$ 6.00","R$ 6.00",""
"","","Coca Cola","1.00","R$ 7.00","R$ 7.00","R$ 0.00","R$ 0.00","R$ 7.00",""
"","","Mabs Tea","2.00","R$ 22.35","R$ 26.00","R$ 0.00","R$ 0.00","R$ 26.00",""
"","","Agua","1.00","R$ 4.00","R$ 4.00","R$ 0.00","R$ 0.00","R$ 4.00",""
"","","Guarana","1.00","R$ 0.00","R$ 0.00","R$ 7.00","R$ 7.00","R$ 7.00",""
"","","Sucos Variados","1.00","R$ 0.00","R$ 0.00","R$ 6.88","R$ 8.00","R$ 8.00",""
"","","Coca Cola Zero","1.00","R$ 0.00","R$ 0.00","R$ 7.00","R$ 7.00","R$ 7.00",""
"","","Sucos Variados","1.00","R$ 0.00","R$ 0.00","R$ 6.88","R$ 8.00","R$ 8.00",""
"","","Agua","1.00","R$ 0.00","R$ 0.00","R$ 4.00","R$ 4.00","R$ 4.00",""
"","","Sucos 2 em 1","1.00","R$ 0.00","R$ 0.00","R$ 7.74","R$ 9.00","R$ 9.00",""
"","","Agua","2.00","R$ 0.80","R$ 0.80","R$ 7.20","R$ 7.20","R$ 8.00",""
"","","Agua C/Gas","2.00","R$ 1.00","R$ 1.00","R$ 9.00","R$ 9.00","R$ 10.00",""
"","","Cafe C/Leite","2.00","R$ 1.38","R$ 1.60","R$ 12.38","R$ 14.40","R$ 16.00",""
"","","Agua","2.00","R$ 0.00","R$ 0.00","R$ 8.00","R$ 8.00","R$ 8.00",""
"","","Cafe C/Leite","1.00","R$ 0.00","R$ 0.00","R$ 6.88","R$ 8.00","R$ 8.00",""
"","","Jarra de Suco","1.00","R$ 0.00","R$ 0.00","R$ 30.10","R$ 35.00","R$ 35.00",""
"","","Sucos Variados","1.00","R$ 0.00","R$ 0.00","R$ 6.88","R$ 8.00","R$ 8.00",""
"","","Coca Cola Zero","3.00","R$ 0.00","R$ 0.00","R$ 21.00","R$ 21.00","R$ 21.00",""
"","","Sucos Variados","2.00","R$ 0.00","R$ 0.00","R$ 13.76","R$ 16.00","R$ 16.00",""
"","","Sprite","1.00","R$ 0.00","R$ 0.00","R$ 7.00","R$ 7.00","R$ 7.00",""
"","","Fanta Uva","1.00","R$ 0.00","R$ 0.00","R$ 7.00","R$ 7.00","R$ 7.00",""
